,user_id,bsks
10,10,"[[12, 19, 72, 86, 97, 141, 68, 178, 237, 346, 581, 583, 504], [1987, 1252, 24, 19, 426, 5092, 3120, 1798, 3652, 12, 581, 616, 1682, 4072, 4521, 3318], [1760], [284, 4495, 68, 59, 1091, 2825, 1724, 1030, 5417, 4249, 397], [68, 8073, 249, 2573, 2796, 709, 581, 178, 4014, 7736, 6046, 4498], [3894, 72, 1713, 3227, 3139, 2144, 284, 1724], [3472, 357, 546, 8201, 5676, 94, 33, 2129, 922, 6759, 8331, 287, 2992, 1378, 2352, 158], [6364, 1833, 24, 2657, 8131, 6565, 290, 2252, 1583, 134], [195, 249, 578, 1583, 2296, 305, 6910, 581, 1075, 7680, 8485, 4809, 7013, 1798, 59, 7183, 1267, 3334, 1000, 8342, 183, 8222, 8064, 1342, 37]]"
11,11,"[[14, 54, 60, 100, 194, 82, 241, 244, 266, 320, 294, 573, 455, 595, 24, 599], [232, 780, 24, 1366, 152, 288, 336, 1362], [213, 752, 3082, 4827, 14, 361], [4096, 2965, 1373], [1211, 0, 153, 1881], [2476, 2167, 7556, 1799, 1317, 49, 2652, 3133, 257, 5426], [100, 1205, 0, 674, 1844, 796, 7575, 2277, 2223, 7810], [324, 461, 1844, 1799, 5426, 2827, 2277], [5204, 1844, 3211, 1317, 1638, 2277, 1106], [796, 1881, 7114], [693, 203], [4680, 4478], [1005, 796], [1637, 2659, 941, 7124, 1396], [3662, 1373, 4331, 4899, 5280, 461], [596, 0, 8464, 3238, 4717, 5426], [1317, 2277, 1242, 1844], [981, 3161, 4586, 1182, 3088, 151, 4660, 6160, 6346, 2212], [1029, 1621, 1115, 4717, 18, 1781, 224, 2631, 7262, 3138, 5329, 4935, 2112, 319, 2, 3161, 3140, 712, 1830, 6346], [1823, 143, 844, 8480, 8090, 235, 981, 1716, 8110, 3211, 6255, 929, 5711], [143, 3769, 1597, 3172], [7110, 1320, 5620, 1170, 8151], [3161, 1359], [250, 809]]"
12,12,"[[15, 35, 122, 149, 159, 180, 193, 204, 247, 203, 297, 43, 341], [742, 776, 81, 1066, 149], [348, 2841, 4265, 149, 249], [6212, 1975, 5564, 6387, 2821], [2683, 5554, 361, 2595, 4265, 5165], [313, 15, 7785, 6067, 1678, 329, 3, 845, 12, 393, 563, 235, 477, 1066, 2815, 602, 2523, 5366, 559, 6236, 43, 1429, 1162, 5880, 187, 3894, 2971, 201, 549, 6835, 5816, 521, 693, 35, 149], [114], [3582, 1066, 2481, 193, 448, 149], [149, 4265, 7077, 1347, 2161, 3829, 150, 1000, 7818], [6835, 1288, 521, 4787, 818, 700, 2173, 718, 4420, 563], [804], [1787, 615, 806, 3211, 1162, 2275, 599, 2352], [72, 150, 110, 329], [2076, 2086, 4958, 232, 407], [5753, 8081, 2202], [6672, 4109, 5816, 6042, 5920, 3329, 5164, 5172, 577, 2681, 5998], [8316, 460, 8087, 806, 1066, 110, 7272, 2086, 149], [149, 804, 2086, 1066], [2739, 110, 3489, 3958, 1344, 1455, 2088], [8009, 446], [201, 1875, 2977, 3489, 2325, 4503, 7184, 5126, 1946, 1902, 4331, 1606, 554, 908, 2173, 254, 8054], [2451, 2791, 6672, 5978, 261, 5525, 868, 6353, 6265, 2273, 1219, 6835], [556, 466, 2337, 8009, 1553, 369, 305], [338, 735, 534, 5807], [2352, 335, 24, 4481, 1798, 1591, 517, 68, 1297, 213, 4483, 6826, 460, 149, 1875, 150], [6835], [6890, 7002, 1066]]"
13,13,"[[16, 160, 68, 242, 301, 283, 596], [5049, 625, 5094, 4235, 2490, 4761, 2279, 1080, 1653, 1971, 5537, 24, 1605, 1548, 5714, 2161, 2974, 1017, 960], [6829, 4341, 905, 4235, 1971, 2085, 4320, 330, 231, 6921, 16], [3968, 5991, 2693, 3188, 7275, 1971, 2611, 3813, 1653, 110, 2633, 16, 5509, 3589, 6649, 3087, 4235, 2878, 2085, 2734, 2715], [4131, 960, 2085, 6446, 2637], [4235, 1548, 7790, 7785, 1605, 1971, 1017, 2136, 1653, 960, 2555, 4761, 709, 1371], [1971, 696, 249, 3158], [7896, 5534, 5289, 1499, 4908, 7168, 7790, 1768], [2575, 4504, 1653, 4930, 7785, 3323, 2161, 1971, 1605, 7834, 4235, 595]]"
14,14,"[[17, 20, 23, 94, 104, 183, 253, 258, 259, 265, 296, 572], [1006], [402, 1391, 921, 23, 971, 3465], [23, 622], [291, 4420, 6860, 349, 996, 971, 23], [1953], [6776, 8238, 6788, 6186], [68, 8527, 8492, 3269, 4420, 556, 2262, 6788]]"
15,15,"[[18, 42, 73, 85, 14, 126, 170, 174, 197, 198, 236, 250], [3930, 126, 2527, 4173, 355, 4169, 3027, 4346, 2959], [4105, 3934], [5921, 7009, 42, 2805], [3397], [2059, 1731, 225, 6012, 174], [170, 250, 126, 7662, 85], [4709, 134, 3083, 4003, 1753], [3921, 868, 4236], [174, 6883, 784, 989, 1377, 42, 49, 6045, 3259, 1701, 6859], [7201], [1724, 3259, 7113, 6012, 8115], [652, 809, 126, 3259, 4236], [461, 1083, 1241], [1241, 8115], [5165, 1065, 42, 1241, 1235, 1842, 7137, 914, 8115, 2390, 1089, 382, 568, 6695, 49, 8178, 7680, 8192, 2466, 3991, 8201, 5436, 2308, 4759, 1082, 44, 8161, 941, 3934, 2451, 197, 919, 7740, 4511, 2126], [8126, 3382, 613, 3694, 315, 2262], [6012], [42], [968, 3934], [6049, 4116, 4957, 4909, 1241, 236, 2847], [7530, 3934, 174, 7549, 4783, 6257, 6157, 1073, 578, 1178, 1241, 56, 2262], [1272, 1522], [8230, 890, 2262]]"
16,16,"[[21, 59, 77, 118, 124, 140, 299, 24, 317, 571, 593, 598], [3769, 4249, 24, 985, 408, 6855, 5295, 7030, 1272, 118, 140, 5565, 3913, 2917, 59], [140, 571, 2739, 2481, 3997, 118, 358, 5565, 76, 333, 679, 892], [483, 2002, 3112, 738, 508, 66, 4960, 317, 3997, 5216, 2086, 118, 3070, 24, 2473], [3894], [2481, 140, 1844, 2917], [1844, 2647], [1652, 24, 905, 5583, 1446, 4815, 5324, 1844, 4249, 4263, 5914]]"
17,17,"[[22, 49, 230, 256, 24], [129, 2764, 275, 682], [1153, 728, 293, 642, 36], [4771, 965, 4441, 5124], [5707, 2475, 3177], [2839, 5359, 642, 2509, 228, 3893, 680], [6057, 218, 67, 5537, 2617, 235, 1012], [224, 24, 5380, 2465, 3548, 1378], [4172, 2729, 387], [5326, 2269, 4218, 7145], [760, 2571, 4484, 5537], [5845], [124, 1347, 1131, 2753, 7158, 1146, 176, 419, 5866, 55, 1745, 87], [819, 1234, 2018], [949, 55], [4049, 2063, 2198, 36, 5961, 1359, 197, 1855], [1629, 2438, 1635, 5914], [2197, 6432], [3564], [7158, 3659, 7902, 2257, 7367, 1582, 823, 2802, 6563, 6307], [2700, 7367, 3833, 44, 6648], [2221, 7842, 1078], [2242, 7814, 3018], [304, 2259, 2765, 338, 843, 5685, 722, 2481], [22, 3833, 7264], [2438], [625], [2506, 2550, 428, 977], [1892, 8267], [905, 642, 330, 22, 864], [2503, 2481, 7425], [24], [4624], [1532, 2332], [4896, 138], [89, 6780, 2981, 24], [32, 3183, 256, 2018], [230, 2497, 7526, 7059, 429, 8415, 4187, 8442, 3211, 2076], [8424, 556], [2330, 464, 5219, 8484, 5300, 1745, 8410, 8264], [7603, 8415, 5140, 3070, 270, 8322, 1532], [394, 7172, 22, 230], [1855, 3569, 2864, 564], [1199, 44, 24, 428], [3981, 55, 7039, 3388, 8331, 3944, 1078, 6328], [55, 22], [3457], [3027, 1719, 2241, 429, 36, 24]]"
18,18,"[[24, 109, 110, 119, 14, 306, 315, 331, 332, 584, 232], [106, 2413, 946, 1927, 1393, 2151, 2772, 2330, 1417, 1759, 121, 1244, 688, 1106, 322], [4150, 1130, 1503, 521, 2062, 2646, 3990, 3687, 570], [3925, 24, 44], [1499, 1768, 2481, 3893], [8073, 4236, 5272], [2560, 3082, 952], [88, 194], [4175], [7804, 2804], [232, 2646, 759], [8090, 3420, 2481, 8123, 8481, 1544, 42, 3096], [2288, 378, 3893, 324, 355, 1671], [24], [6835, 82, 2241]]"
19,19,"[[26, 163, 238, 209, 115, 602], [2312, 3255, 1841, 3202, 5319, 1709], [1595, 24, 1586, 4513, 197, 5393], [5001, 1927, 522], [460, 1878, 3862, 203, 1623, 35, 32], [8137, 6343, 224, 7433, 785, 7740, 460, 209, 163], [3233, 7110, 3283, 8203, 8192], [36, 5205, 6364, 5382], [3211, 460, 602], [5122, 271, 6364], [115, 951, 460, 82]]"
20,20,"[[27, 71, 78, 191, 213, 81, 314], [110, 322, 213], [2339, 209, 44], [134, 74], [1362, 1191, 19, 2481, 3211, 81, 4412, 12], [8372, 6473, 7681, 2129]]"
21,21,"[[24, 28, 134, 215, 239, 245, 415], [791, 877, 948, 1190, 1283], [134, 842, 606, 4015, 232, 1259, 2503, 115, 81], [613, 3085, 134, 3227, 363, 652, 24], [2191, 4015, 2018], [134, 3228, 3024, 5280, 908, 7015, 7005], [209, 602, 1447, 4446, 1074, 115, 281, 61, 1558, 435, 228, 5066, 2516, 153, 546, 742], [4638, 6089, 638, 410], [407, 1785, 3407, 134, 1865, 2191, 1689, 2606, 1721, 115, 285], [2671, 285, 4889, 2221], [5066], [648], [7792, 428, 2107, 1003, 477], [5859, 2839, 3282, 2338, 2310, 7422, 3407, 1235], [181, 949, 6567, 728, 1234, 4405, 1346, 293, 3228, 101], [868, 3910], [7409, 3876, 742, 3657], [109, 3267, 7765, 460, 6287, 886, 1272], [6398, 456, 1356, 8481], [2027, 728], [228], [4865, 3798, 88, 463, 2018, 7808, 948, 620, 24, 3934, 5066, 4612, 285], [4758, 1785, 871, 134]]"
22,22,"[[29, 111, 308, 316], [4250], [5345], [308], [4250], [4937], [425], [5345], [2651, 978, 4532, 1609, 2815, 3865, 7843, 1228, 58, 298, 4252, 1802, 1030, 4928, 1310, 580, 4251], [4358, 2428, 3675, 8307, 3025], [308, 5971], [308], [713], [7110], [25, 5461], [3789], [3255], [5461], [2964, 3430, 2667], [4484], [8356], [1597, 8415], [466, 6364, 1873], [8219, 8274], [7813], [24, 131], [896, 4126, 577], [8358, 3211, 7775, 2718, 369, 988], [8395]]"
23,23,"[[31, 50, 61, 113, 131, 181, 195, 248, 263, 274, 24, 101, 319, 138, 144, 342], [4206], [24, 1104], [3995, 1681, 5043, 3767, 4540, 5186, 1951, 5546, 751, 1342], [1362, 27, 195, 131, 1214, 3750, 3163, 492, 1984, 24, 5519, 4206, 1033, 2974, 4412, 4078], [865, 1444, 5579, 5573, 1452, 494, 751, 390, 4949, 1181, 702, 270, 141], [166], [1218, 7680, 4130, 2802, 4251, 235, 2136, 225, 1371, 1546, 8177, 300, 305, 131, 798, 100, 2582, 751], [5093, 4206, 437], [27], [4120, 153, 144], [6560, 5209], [319, 948, 2744, 224, 1621, 952, 7680, 298], [1244, 3138], [1538, 369, 2069, 989, 3052, 493, 1838, 2337, 760, 27, 4052, 394, 466, 7775, 7680, 1873], [24, 44, 952, 2659, 5209, 88]]"
24,24,"[[34, 175, 190, 232, 260, 261, 210, 570], [1634, 738, 4921, 206, 1137], [2237, 3591, 7359, 438, 6291], [5153, 5596, 7633, 2841], [7585], [4249], [4438, 1751, 3801, 3061, 6855], [2439, 8103, 6254, 931, 5605, 6123], [1782, 1746, 3190, 7651, 2203, 2198, 3479, 44, 2073, 5333], [4220], [2107, 4079, 738, 1194, 1735, 2899, 232, 8376, 8392, 24], [5647, 1974, 7501, 208, 5298], [290, 5301, 8485], [3038, 3068, 3517, 7257, 5118], [8511, 8162, 3318, 2789, 7002, 554, 2907, 2645], [1631], [5183, 7683, 5051, 7516]]"
25,25,"[[36], [3617, 1719, 760, 24, 3458, 1204], [36], [7110], [4064, 7471, 490, 1316, 5056, 736, 1825], [1359, 1855], [36], [2531, 8009], [7992], [1114], [3381, 2582, 1359], [4678], [3052, 104, 82], [82, 1685]]"
26,26,"[[37, 100, 143, 156, 91, 264, 313], [313, 143, 37], [5479, 1060, 156, 313, 494, 307, 5816, 4979, 100], [2261, 1366, 1205], [754, 7556], [313, 37], [7725, 1921, 1907, 557], [4737, 4108, 2419, 1205, 7000, 5436], [313, 1561, 37], [5894, 2329, 307, 8104, 2419, 1280, 6826, 5203, 5881, 3725, 143, 787, 7230, 2652], [1561, 156, 37, 596]]"
27,27,"[[38, 65, 88, 24, 158, 224, 229, 321, 322, 325, 326, 574], [5256, 5279, 832, 305, 4762, 65, 840, 137, 197, 3079], [1561, 193], [5047, 242, 2419, 1375], [1205, 590]]"
28,28,"[[39, 91, 24, 19, 272, 582, 69], [4495, 36, 2481, 24], [24, 1281, 582, 69], [44, 134, 315, 209, 1178, 638, 997], [12, 24], [209, 2241, 359], [209], [7897, 2221, 4872], [8073], [12, 981], [8162, 8228], [8325], [1683], [8415, 2481, 232, 1955, 1439, 414, 69, 209, 141], [1262, 8480], [466, 493], [125, 8090], [981, 209], [24, 2201], [2613, 456]]"
29,29,"[[40, 46, 53, 117, 128, 31, 219, 109, 569], [7602, 2719, 709], [6084, 49, 877, 7787, 4975, 4672, 6105, 3217, 7305], [6174, 897, 7970, 7792, 1739, 3230, 2465, 5515]]"
30,30,"[[44, 51, 67, 68, 24, 177, 125, 12, 275, 106, 278, 304], [1500, 12, 840, 1229, 5733, 5669, 184, 2583, 1789], [6895, 6222, 998, 756, 12, 3921, 1390, 682, 106], [3497, 5408, 5258, 581, 3376, 1615, 1568, 1809, 4416, 1452, 1920], [1945, 12, 106], [1945, 1719, 736, 583, 4014, 3072, 840, 12], [6692, 99, 12, 233, 3551, 6263, 1987, 5173, 2048, 3390, 3011, 1945, 6256, 905, 100, 5581, 1536], [12, 6732, 106, 99, 638, 4093, 5796, 4365, 3650], [1059, 682, 4283], [4369, 8169, 547, 8073, 8023, 8129, 3423, 99, 7986, 682], [12], [1945, 6085, 3932, 1635, 2078], [12, 682, 8274, 177, 44], [2263, 1362, 6720, 2273, 99, 305, 2332, 4130], [2989, 2362, 816, 3222, 6650, 4759, 3827, 7416, 5436, 4690, 7940], [3267, 125, 507, 99, 2529, 6191, 3296, 130, 8036, 1945], [8095, 5981, 2085, 4759, 12, 106], [1961, 8253, 8274, 6153, 3736, 5123, 8241], [7933, 125], [106, 1373, 4581, 2300, 4938, 1719, 3267, 8036], [5856, 24, 3856, 99, 1277, 7924]]"
31,31,"[[45, 106, 127, 171, 289, 302, 161, 577], [1465, 3920, 5945, 3258, 3843, 4892, 5038, 693, 1151, 103], [6350, 5705, 855, 2466, 5572, 4182, 581, 249], [1272, 3147, 344, 768, 103, 2280, 693, 2998, 6840, 2865], [2280, 533, 1734, 6835, 577, 344, 171, 35], [249, 1021, 5012, 1760, 4182, 1182, 3140, 1734, 5119, 1396, 855, 577], [7323, 1359], [45, 577, 1734, 2700, 3295], [2700, 30, 249, 577, 2835, 4182, 2112, 855, 1182], [1021], [1151, 693, 5559, 3675, 35, 6085, 8007, 7330], [6681, 577, 8247, 2865, 3949, 5486], [5887, 7799, 1654], [1833, 30, 6097, 6565, 577, 1182, 3138, 2171, 249, 361, 2835, 44, 3687, 1021, 4182, 5012], [2791, 7799, 6461, 2263, 3776, 2646], [738, 7202, 748, 3140, 1536], [7112, 2791, 8036, 1721, 1223, 577], [4236, 2201, 2700, 577], [736, 8424, 2159]]"
32,32,"[[56, 164, 277, 300, 190, 592, 594], [1707, 5841, 6833, 555, 708, 190], [2657, 1782, 4236, 201, 2327, 3318, 1719, 3952, 7748, 2451], [461, 460, 4638, 5076, 2622, 6638, 7748, 1572], [1572, 4758, 3612, 460, 718, 1310], [2930], [555, 300, 1546, 2327, 1572, 5551, 460, 4495, 4644, 2023, 3348], [2327, 460, 276, 8070], [8203, 5049, 151, 1572, 5948, 8126, 71], [3686, 347], [446, 2327], [1747, 4896, 6846, 362, 8441, 7818, 555, 5342], [277, 8481, 460], [3846, 7391, 5611, 1507, 44, 3656, 3557, 8485]]"
33,33,"[[57, 97, 142, 203, 323, 327, 35], [3519, 1265], [426, 773, 554, 7228, 544, 3432], [2523, 1875], [4981, 671, 6016, 7267], [2069, 1265], [6856, 56, 1265, 119]]"
34,34,"[[58, 172], [2903, 3083, 2527], [3241, 1719, 4834], [24], [2527, 2718, 86, 101, 1719, 526, 1671, 1162, 4716], [678, 4131, 4344, 3820, 1719], [739, 2896, 2617, 1217], [6295], [1719], [5301, 874], [7798, 7608, 2527], [5369], [2659], [2659], [1762, 1671, 101, 651, 6338, 86], [713], [3889, 66, 369, 2576, 709, 2337, 7065, 3355], [6338], [6699, 7860, 6803, 1975, 7674], [2998, 2527, 151]]"
35,35,"[[64, 77, 187, 192, 159], [472, 1873, 2974, 369], [909], [126, 5106, 4126, 1270, 1467, 153], [24, 927, 446], [2974, 3011, 355], [608, 1724], [2917, 463, 831], [44, 7110, 7158, 2719, 3280, 7134, 5781, 7630], [4869, 4114, 4213], [3060, 1364, 1270, 585, 7810, 1997, 4372, 144, 7601], [804, 466], [2535, 4525, 233, 8123, 3211, 5781, 8165], [82], [7832, 7110, 5165, 6742], [7783, 5954], [1364], [8307, 2375, 7980, 1081, 4598, 3699], [24, 741]]"
36,36,"[[66, 150, 168, 160, 272, 283, 12, 589, 601], [168], [6170], [695, 1936, 1702, 119, 168, 4661], [168], [1168], [625, 2936, 168, 498, 7808]]"
37,37,"[[69, 98, 155, 271, 307], [1091, 5200, 490], [2885, 1781, 2582], [298, 740, 77, 1789, 271, 1499, 3617, 267, 193, 5583], [446, 2739, 909, 4647, 590, 1446], [5685, 166, 5511, 4763], [7427, 4647, 3816], [5448], [4276, 3675, 95], [51, 381, 1415, 3742], [1179, 596, 6124, 279, 4647, 298, 24, 720, 4206, 5629, 4830, 38, 6814, 539, 4544, 487, 6722, 5101, 939, 1088], [1503, 888, 1842, 776], [1324, 381, 5593, 128], [2943, 4236, 2246, 4206, 795, 3346, 4661, 3070, 5062]]"
38,38,"[[70, 99, 148, 188, 279], [1774, 2801, 486], [4555, 3471, 771], [1205, 802, 290, 1226], [1597, 4512, 5328, 3425], [7570, 493, 1719, 7316, 1002, 2342], [3222, 1294, 5605, 6719, 3172, 466, 1984], [390, 100], [319, 4530, 100], [2465], [100, 7743, 6070, 2543, 40, 871], [871, 2334, 56], [56, 7365, 3149, 2216, 5430, 839, 134, 7013], [155, 949, 1049, 2936, 3717], [3840, 949], [3201, 1507, 4650, 5165, 1025], [7610, 8227, 8228, 77], [466, 1049, 493, 12, 7551, 134, 19, 4594, 99, 7172, 1251], [949, 1049, 426, 8415], [4009, 2020], [829, 150, 1226, 40, 8222, 6036, 234, 620, 19, 100, 3268, 5058, 402], [1015, 197, 5058, 2887, 1504, 7775, 44], [5915, 2571, 952], [5589, 906, 24, 7833, 1354]]"
39,39,"[[74, 214, 249, 251, 262, 267, 269], [2857, 526, 5357, 6118, 1191, 2346, 269, 267, 3287, 3382, 463, 2356, 2631], [5407, 3129, 2993, 2631, 1236, 269, 3562], [5139, 269, 262, 5357, 4626], [1399, 1236, 5393, 2356, 269, 868, 631, 2422, 1819, 3517, 1616, 1765, 1654, 4202]]"
40,40,"[[75, 83, 185, 19, 291, 150, 347, 302, 579, 196, 551], [1006, 1182, 499, 868, 1582, 49], [3312, 2191, 2853, 6024, 4665], [728, 293, 3140, 318, 6513, 75], [5229], [2323, 4236, 3562, 1972, 3648, 1593, 1720, 577, 339, 3546], [2284, 5380, 203, 99, 35, 75, 881, 38, 32, 33], [7445, 267, 4004, 5958, 744, 5960, 1972, 4223, 5188, 6432, 6270, 2181], [6831, 1176, 4640, 3648, 293, 4368, 2839, 99, 158, 713, 3380, 2589], [551, 688, 254, 1505, 5593], [1730, 4236, 68, 1310, 4737, 2527, 25, 3039, 2295], [3731, 112, 563, 7809, 7576, 3474, 2963], [2357, 233, 305, 3648, 1088, 339, 4737, 2417, 5587], [25, 979, 171, 2718, 3211, 917, 35, 32, 43, 1026, 178, 3049], [5308, 3826, 3648, 2657, 7442, 171], [1370, 5436, 1155], [1864, 166, 3706, 7266, 6513, 8442, 2123, 2721], [8442, 87, 2123, 551, 2086], [2816, 1966, 713, 1730, 2123], [521, 4940], [1139, 3648, 277, 8245, 1864, 7841, 8227, 7963, 267, 291, 3554, 8322], [1953, 2417, 974, 309], [5071, 3699, 1752, 393, 1966, 417, 2913, 1079, 547, 1864], [4271, 1713, 2351, 166, 5268]]"
41,41,"[[76, 92, 82, 157, 165, 205, 227, 233, 254, 222, 338], [134, 1283, 1542], [1178, 99], [941, 1582, 6524, 6214, 3064, 134, 487, 1620, 3203, 7749], [2476, 446, 2262]]"
42,42,"[[77, 24], [2171, 2444], [907, 7245, 2246, 2444], [965, 2444, 907], [8438, 2444]]"
43,43,"[[79, 119], [355, 267], [5915], [2336, 1474, 5250, 4553, 3067, 682, 1586, 2680, 2968, 267, 3496, 3407], [4590, 4804], [3934, 2394, 197, 555, 7326, 151, 1522], [98, 136], [2451, 7194, 1081, 2329, 343, 1972, 5436, 3886, 3204, 8130, 1713, 1420, 3243, 3057, 3957, 7824], [282, 312, 3611, 8481, 1078, 5771, 4675, 1226]]"
44,44,"[[24, 207, 336], [1051, 2787], [2646, 5038, 1751, 5122, 1118, 708], [1051, 1246, 2787], [1051], [742, 2393, 5493, 659, 710, 5071, 2787, 1669], [2787, 1051, 305], [1051, 4984], [3034, 2787, 1446, 5921], [4762, 859, 2787, 2891, 7741, 5493], [1051, 2382, 4049, 4433], [1051], [2787, 2739, 5032, 7641], [1051, 160, 3482], [6907, 1450, 4735, 6213], [5921, 732, 1051], [1051, 794], [3735, 2787, 874], [4334, 2787, 1051], [2332, 1191, 1477, 619, 8222, 7645, 1051, 7423, 2353], [2947, 2250, 2787, 7111], [3291, 1051, 59], [1051, 4961, 5448, 2787], [8351, 3070, 1051, 2787], [989, 1051], [1051, 2787], [1047, 2787, 1051, 7356]]"
